Date,JPM_Close,VIX_Decimal,Risk_Free_Rate,Daily_Return,Rolling_Vol_20d,Dividend_Growth_Proxy,VIX_JPM_Corr_20d,IR_Momentum_10d,JPM_SMA20_Disparity,IV_RV_Spread,Rate_Delta,Chooser_BSM_T1_0.25,Chooser_BSM_T1_0.5,Chooser_BSM_T1_0.75
2018-01-02,85.9013,0.0977,0.0142,0.001,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,-0.0003,55.8565,55.8565,55.8565
2018-01-03,85.9888,0.0915,0.0139,0.001,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,-0.0003,55.8071,55.8071,55.8071
2018-01-04,87.2206,0.0922,0.0139,0.0142,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,0.0,54.4875,54.4875,54.4875
2018-01-05,86.6607,0.0922,0.0137,-0.0064,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,-0.0002,55.1169,55.1169,55.1169
2018-01-08,86.7887,0.0952,0.0143,0.0015,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,0.0006,54.891,54.891,54.891
2018-01-09,87.2287,0.1008,0.0142,0.0051,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,-0.0001,54.4345,54.4345,54.4345
2018-01-10,88.1885,0.0982,0.014,0.0109,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,-0.0002,53.4358,53.4358,53.4358
2018-01-11,88.6605,0.0988,0.0141,0.0053,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,0.0001,52.9154,52.9154,52.9154
2018-01-12,90.1243,0.1016,0.0141,0.0164,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,0.0,51.3472,51.3472,51.3472
2018-01-16,89.8043,0.1166,0.0143,-0.0036,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,0.0002,51.6605,51.6605,51.6605
2018-01-17,90.3802,0.1191,0.0142,0.0064,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,-0.0001,51.0583,51.0583,51.0583
2018-01-18,90.5962,0.1222,0.0143,0.0024,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,0.0001,50.8121,50.8121,50.8121
2018-01-19,90.3962,0.1127,0.0142,-0.0022,0.1103,-0.0689,-0.2453,0.0141,0.0266,0.0251,-0.0001,51.0412,51.0412,51.0412
2018-01-22,91.4521,0.1103,0.0143,0.0116,0.1103,-0.0689,-0.2453,0.0142,0.0266,0.0251,0.0001,49.8953,49.8953,49.8953
2018-01-23,91.3561,0.111,0.0142,-0.001,0.1103,-0.0689,-0.2453,0.0142,0.0266,0.0251,-0.0001,50.0129,50.0129,50.0129
2018-01-24,92.524,0.1147,0.0141,0.0127,0.1103,-0.0689,-0.2453,0.0142,0.0266,0.0251,-0.0001,48.7767,48.7767,48.7767
2018-01-25,92.548,0.1158,0.014,0.0003,0.1103,-0.0689,-0.2453,0.0142,0.0266,0.0251,-0.0001,48.7657,48.7657,48.7658
2018-01-26,93.0439,0.1108,0.0139,0.0053,0.1103,-0.0689,-0.2453,0.0142,0.0266,0.0251,-0.0001,48.2494,48.2494,48.2494
2018-01-29,92.9479,0.1384,0.0143,-0.001,0.1103,-0.0689,-0.2453,0.0142,0.0266,0.0251,0.0004,48.293,48.293,48.2931
2018-01-30,92.076,0.1479,0.0142,-0.0094,0.1103,-0.0689,-0.2453,0.0142,0.0266,0.0251,-0.0001,49.2417,49.2417,49.2418
2018-01-31,92.524,0.1354,0.0144,0.0049,0.1103,-0.0689,-0.2453,0.0142,0.0278,0.0251,0.0002,48.7323,48.7323,48.7323
2018-02-01,93.4838,0.1347,0.0146,0.0103,0.1122,-0.0689,-0.283,0.0142,0.0341,0.0225,0.0002,47.6749,47.6749,47.675
2018-02-02,91.4121,0.1731,0.0146,-0.0224,0.1405,-0.0689,-0.6115,0.0143,0.0089,0.0326,0.0,49.9017,49.9017,49.903
2018-02-05,87.0287,0.3732,0.0149,-0.0491,0.2295,-0.0689,-0.8761,0.0143,-0.0397,0.1437,0.0003,54.7686,54.7812,54.8494
2018-02-06,89.6763,0.2998,0.015,0.03,0.2527,-0.0689,-0.897,0.0144,-0.0121,0.0471,0.0001,52.2376,52.2925,52.4768
2018-02-07,90.2842,0.2773,0.0153,0.0068,0.253,-0.0689,-0.8959,0.0145,-0.0071,0.0243,0.0003,51.5858,51.6482,51.8488
2018-02-08,86.2928,0.3346,0.0153,-0.0452,0.3001,-0.0689,-0.8492,0.0146,-0.05,0.0345,0.0,56.1629,56.2763,56.5858
2018-02-09,88.0206,0.2906,0.0153,0.0198,0.3085,-0.0689,-0.8578,0.0148,-0.0306,-0.0179,0.0,54.6044,54.7811,55.1961
2018-02-12,89.3804,0.2561,0.0161,0.0153,0.3077,-0.0689,-0.8747,0.015,-0.0152,-0.0516,0.0008,53.1735,53.3854,53.8514
2018-02-13,89.9323,0.2497,0.0157,0.0062,0.3083,-0.0689,-0.8749,0.0151,-0.0092,-0.0586,-0.0004,52.7139,52.9438,53.4351
2018-02-14,92.012,0.1926,0.0156,0.0229,0.3182,-0.0689,-0.8845,0.0152,0.0128,-0.1256,-0.0001,50.9819,51.3372,51.9914
2018-02-15,92.396,0.1913,0.0156,0.0042,0.3184,-0.0689,-0.8846,0.0153,0.016,-0.1271,0.0,50.6334,51.0062,51.681
2018-02-16,91.7321,0.1946,0.0159,-0.0072,0.3195,-0.0689,-0.8845,0.0155,0.008,-0.1249,0.0003,51.2278,51.5799,52.2311
2018-02-20,91.7561,0.206,0.0164,0.0003,0.3169,-0.0689,-0.8881,0.0156,0.0081,-0.1109,0.0005,51.0808,51.4209,52.0562
2018-02-21,92.14,0.2002,0.0162,0.0042,0.3172,-0.0689,-0.8888,0.0157,0.0119,-0.117,-0.0002,50.7604,51.1174,51.7729
2018-02-22,91.972,0.1872,0.0161,-0.0018,0.3139,-0.0689,-0.8941,0.0158,0.0103,-0.1267,-0.0001,50.8568,51.1877,51.8106
2018-02-23,93.8358,0.1649,0.0161,0.0201,0.3222,-0.0689,-0.89,0.0159,0.0301,-0.1573,0.0,49.3497,49.8166,50.5971
2018-02-26,95.0036,0.158,0.0165,0.0124,0.3245,-0.0689,-0.8868,0.016,0.0418,-0.1665,0.0004,48.3167,48.8645,49.7296
2018-02-27,93.8758,0.1859,0.0164,-0.0119,0.3277,-0.0689,-0.8908,0.016,0.0289,-0.1418,-0.0001,49.4134,49.9221,50.7501
2018-02-28,92.388,0.1985,0.0163,-0.016,0.3311,-0.0689,-0.8855,0.0161,0.0124,-0.1326,-0.0001,50.8444,51.2994,52.0732
2018-03-01,90.7322,0.2247,0.016,-0.0181,0.3368,-0.0689,-0.8828,0.0161,-0.0048,-0.1121,-0.0003,52.5192,52.9304,53.6597
2018-03-02,90.6442,0.1959,0.0162,-0.001,0.3341,-0.0689,-0.8802,0.0162,-0.0042,-0.1382,0.0002,52.5111,52.9028,53.6083
2018-03-05,92.036,0.1873,0.0167,0.0152,0.3296,-0.0689,-0.8728,0.0163,0.0108,-0.1423,0.0005,51.0728,51.5026,52.2479
2018-03-06,92.116,0.1836,0.0165,0.0009,0.273,-0.0689,-0.8965,0.0163,0.0088,-0.0894,-0.0002,49.8854,50.035,50.3954
2018-03-07,91.7721,0.1776,0.0165,-0.0037,0.2542,-0.0689,-0.8818,0.0163,0.0039,-0.0766,0.0,49.9427,50.029,50.2768
2018-03-08,91.7801,0.1654,0.0164,0.0001,0.2533,-0.0689,-0.8799,0.0164,0.0032,-0.0879,-0.0001,49.9368,50.0208,50.2643
2018-03-09,94.4197,0.1464,0.0164,0.0284,0.2062,-0.0689,-0.7775,0.0164,0.0274,-0.0598,0.0,46.7369,46.7634,46.8717
2018-03-12,94.1158,0.1578,0.0168,-0.0032,0.1996,-0.0689,-0.7596,0.0164,0.0208,-0.0418,0.0004,46.9362,46.9545,47.0386
2018-03-13,92.9879,0.1635,0.017,-0.0121,0.2015,-0.0689,-0.7466,0.0165,0.0066,-0.038,0.0002,48.089,48.1042,48.1787
2018-03-14,91.948,0.1723,0.0173,-0.0112,0.2061,-0.0689,-0.7541,0.0166,-0.0058,-0.0338,0.0003,49.1567,49.1715,49.2451
2018-03-15,92.18,0.1659,0.0174,0.0025,0.1896,-0.0689,-0.7123,0.0167,-0.0034,-0.0237,0.0001,48.7998,48.8062,48.8474
2018-03-16,92.34,0.158,0.0175,0.0017,0.1891,-0.0689,-0.7142,0.0168,-0.0016,-0.0311,0.0001,48.615,48.6215,48.6632
2018-03-19,91.6121,0.1902,0.0177,-0.0079,0.1895,-0.0689,-0.6972,0.0169,-0.0094,0.0007,0.0002,49.3513,49.3567,49.3936
2018-03-20,91.7001,0.182,0.0178,0.001,0.1895,-0.0689,-0.706,0.0171,-0.0084,-0.0075,0.0001,49.2444,49.25,49.2876
2018-03-21,91.7801,0.1786,0.0171,0.0009,0.1889,-0.0689,-0.7047,0.0171,-0.0074,-0.0103,-0.0007,49.2594,49.2648,49.3016
2018-03-22,87.9485,0.2334,0.0169,-0.0426,0.2418,-0.0689,-0.8257,0.0172,-0.0467,-0.0084,-0.0002,53.6185,53.6456,53.7604
2018-03-23,85.5968,0.2487,0.0171,-0.0271,0.242,-0.0689,-0.7976,0.0173,-0.0681,0.0067,0.0002,56.017,56.0332,56.1148
2018-03-26,88.2365,0.2103,0.0176,0.0304,0.266,-0.0689,-0.8396,0.0173,-0.0358,-0.0557,0.0005,53.4685,53.5344,53.7448
2018-03-27,86.5247,0.225,0.0174,-0.0196,0.2705,-0.0689,-0.8477,0.0174,-0.0507,-0.0455,-0.0002,55.271,55.3259,55.5136
2018-03-28,86.3888,0.2287,0.017,-0.0016,0.2669,-0.0689,-0.8445,0.0174,-0.049,-0.0382,-0.0004,55.4282,55.4758,55.646
2018-03-29,87.9646,0.1997,0.017,0.0181,0.2713,-0.0689,-0.8503,0.0173,-0.0302,-0.0716,0.0,53.8892,53.9617,54.187
2018-04-02,86.2688,0.2362,0.0174,-0.0195,0.2786,-0.0689,-0.8892,0.0173,-0.0466,-0.0424,0.0004,55.6182,55.6847,55.899
2018-04-03,87.4526,0.211,0.0172,0.0136,0.2773,-0.0689,-0.8982,0.0172,-0.0311,-0.0663,-0.0002,54.4458,54.5245,54.7634
2018-04-04,88.7804,0.2006,0.0168,0.0151,0.2841,-0.0689,-0.8954,0.0172,-0.0145,-0.0835,-0.0004,53.2767,53.3932,53.7033
2018-04-05,89.9462,0.1894,0.0169,0.013,0.2888,-0.0689,-0.9003,0.0171,-0.0006,-0.0994,0.0001,52.1951,52.351,52.727
2018-04-06,87.7031,0.2149,0.017,-0.0253,0.3013,-0.0689,-0.9112,0.0171,-0.0233,-0.0864,0.0001,54.5597,54.7073,55.0745
2018-04-09,88.7563,0.2177,0.0173,0.0119,0.2843,-0.0689,-0.9013,0.0172,-0.0084,-0.0666,0.0003,53.233,53.3504,53.6621
2018-04-10,90.4527,0.2047,0.0171,0.0189,0.2949,-0.0689,-0.9027,0.0171,0.0126,-0.0902,-0.0002,51.7811,51.9731,52.4053
2018-04-11,88.9332,0.2024,0.017,-0.0169,0.2976,-0.0689,-0.8817,0.0171,-0.0022,-0.0952,-0.0001,53.3063,53.4695,53.8599
2018-04-12,91.1441,0.1849,0.0172,0.0246,0.3101,-0.0689,-0.8816,0.0171,0.0231,-0.1252,0.0002,51.3986,51.6814,52.2428
2018-04-13,88.6759,0.1741,0.0173,-0.0275,0.3242,-0.0689,-0.8044,0.0171,-0.0026,-0.1501,0.0001,53.9822,54.2482,54.7946
2018-04-16,88.6036,0.1656,0.0176,-0.0008,0.324,-0.0689,-0.8023,0.0171,-0.0014,-0.1584,0.0003,54.0053,54.2687,54.8116
2018-04-17,88.6036,0.1525,0.0177,0.0,0.3233,-0.0689,-0.8223,0.0172,0.0003,-0.1708,0.0001,53.9782,54.2386,54.7772
2018-04-18,87.8881,0.156,0.0178,-0.0081,0.3239,-0.0689,-0.8229,0.0173,-0.0056,-0.1679,0.0001,54.6524,54.8927,55.4046
2018-04-19,89.8175,0.1596,0.0179,0.0217,0.3347,-0.0689,-0.7826,0.0174,0.0174,-0.1751,0.0001,53.0522,53.4176,54.0926
2018-04-20,89.6166,0.1688,0.0178,-0.0022,0.2968,-0.0689,-0.7082,0.0175,0.0141,-0.128,-0.0001,52.5212,52.7,53.1136
2018-04-23,89.1824,0.1634,0.0184,-0.0049,0.2788,-0.0689,-0.6825,0.0176,0.0072,-0.1154,0.0006,52.5801,52.6913,52.9907
2018-04-24,88.7644,0.1802,0.0184,-0.0047,0.2587,-0.0689,-0.615,0.0177,0.0022,-0.0785,0.0,52.7401,52.799,52.9931
2018-04-25,88.4267,0.1784,0.0182,-0.0038,0.2484,-0.0689,-0.5875,0.0178,-0.0027,-0.07,-0.0002,53.0026,53.0418,53.1887
